id,case_name,url,expected_title,expected_home_text,expected_find_owners_text,expected_veterinarians_text,note
001,HomePage_Case_001,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Baseline scenario 1
002,HomePage_Case_002,http://localhost:8080/,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Root slash scenario 2
003,HomePage_Case_003,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Home page scenario 3
004,HomePage_Case_004,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Navigation scenario 4
005,HomePage_Case_005,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Menu check scenario 5
006,HomePage_Case_006,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Element presence 6
007,HomePage_Case_007,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Title check 7
008,HomePage_Case_008,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Layout validation 8
009,HomePage_Case_009,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Link validation 9
010,HomePage_Case_010,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Extended scenario 10
011,HomePage_Case_011,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Baseline scenario 11
012,HomePage_Case_012,http://localhost:8080/,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Root slash scenario 12
013,HomePage_Case_013,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Home page scenario 13
014,HomePage_Case_014,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Navigation scenario 14
015,HomePage_Case_015,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Menu check scenario 15
016,HomePage_Case_016,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Element presence 16
017,HomePage_Case_017,http://localhost:8080,PetClinic :: a Spring Framework demonstration,Home,Find Owners,Veterinarians,Title check 17
